request_id,request_type,run_phase,plan_context_hash,parameter_cell_id,replicate_index,request_payload_hash,expected_output_id,expected_output_type,request_payload_schema_version,output_cardinality,base_generation_cell_id,seed_scope_id,derived_seed,generator_contract_hash,base_generation_request_id,taskset_request_id,paired_family_id,transformation_id,transformation_type,transformation_parameter_canonical,scenario_id,stream_label,stream_index,trace_generator_contract_hash,analysis_variant_or_scenario,analysis_config_hash,approved_rta_build_identity_hash,release_trace_request_id,harvest_trace_request_id,simulation_contract_hash,approved_simulator_build_identity_hash,approved_scheduler_build_identity_hash,simulation_request_id,analysis_request_id,service_curve_check_config_hash,e0_check_config_hash,compatibility_contract_hash,service_check_request_id,e0_check_request_id,compatibility_check_request_id,approved_audit_build_identity_hash,human_label,parent_request_id,audit_subject_request_id
0dafc76b293039b4d15b6375213ce768747f02424c0fd6a60a7ee38a5e73b455,ANALYSIS,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,eb41f71e708725f7157f6e98a665fbfdaa9b52b092c96e116590f4e1a1cff2ad,0,7565730392b3f5614699f82b2de26dda6450ad6a4b0e40ff724abc0accd4a300,f34ad9130efd92e2b8a4da7c7163a736a9953a3f219727d8b8e04e14e18ca7b2,ANALYSIS_RESULT,1.3.12,EXACTLY_ONE,,,,,,10db4f55ae042ade00beacff2f68e7d5e5d27efab66241f51622bd9f5e4b2d9e,,,,,,,,,LOC-Theta^loc,0bc4f8e8c0925faf4aa4c13e75943051f71e98fde7983f9797ac9890a026fbdf,03d433e2d19b4988185336ae0635bca248191b85333ba95091dab3f40912d531,,,,,,,,,,,,,,,Microcase A LOC-Theta^loc,,
10db4f55ae042ade00beacff2f68e7d5e5d27efab66241f51622bd9f5e4b2d9e,GENERATION,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,eb41f71e708725f7157f6e98a665fbfdaa9b52b092c96e116590f4e1a1cff2ad,0,e0f40fdbf506463fdca10e8fa1560d1d1e31d1b9e29cea7bd7a899ea590d64d6,a12e6035ef7e59a8bae81f5cfa1e8392d252dcce7f7ee96084abb06df418acce,GENERATION_RESULT,1.3.12,EXACTLY_ONE,eb41f71e708725f7157f6e98a665fbfdaa9b52b092c96e116590f4e1a1cff2ad,90c49bb44d9fb100f06231aa51a2db4ee5edea92cf3ad82f0ba816a1f80b8543,6507521961758984234,0bd291456f142511eb8f225163ecf6498a07b17ea85c494d675c867420fb9bd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microcase A generation,,
12aa39f7c7270b4707993279d5ccd94c6c50b6f3041f30e9f1f00b0e256792d8,ANALYSIS,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,eb41f71e708725f7157f6e98a665fbfdaa9b52b092c96e116590f4e1a1cff2ad,0,36777be86c3b239a112edecbd4bf40c5b1792c7caffd11de55ad6f1bff82a2e9,6978a863c705b3aaaeee2cf72085675229764180e245c3a3da3fcbef8b22e90c,ANALYSIS_RESULT,1.3.12,EXACTLY_ONE,,,,,,10db4f55ae042ade00beacff2f68e7d5e5d27efab66241f51622bd9f5e4b2d9e,,,,,,,,,CW-D,35eb0c237f1d250126dbbc1273da7763bbe828d3de6a7fa5784694b5415c4579,03d433e2d19b4988185336ae0635bca248191b85333ba95091dab3f40912d531,,,,,,,,,,,,,,,Microcase A CW-D,,
160db89c42ad22a50572d12223a4ed8e5dd1263fd97068a411822b834d7a7206,ANALYSIS,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,eb41f71e708725f7157f6e98a665fbfdaa9b52b092c96e116590f4e1a1cff2ad,0,0ebd228b5eda11fe82a108101ed36e0f40ee57000a50e6a58657edb24a7f8fed,d86774bc2c7c6a409d9c7decff47adaebd44b2b8ca8b95dc826daf66b3770523,ANALYSIS_RESULT,1.3.12,EXACTLY_ONE,,,,,,10db4f55ae042ade00beacff2f68e7d5e5d27efab66241f51622bd9f5e4b2d9e,,,,,,,,,CW-Theta^cw,6175b097601e04b29a890f6dec38ba1915fe0fc53c3de6cf8e353bdd20a8f3ac,03d433e2d19b4988185336ae0635bca248191b85333ba95091dab3f40912d531,,,,,,,,,,,,,,,Microcase A CW-Theta^cw,,
1d13bff738a940da6d5b603b0d2765ab92612659a5771f06bbf67c41ad207b05,ANALYSIS,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,b19a7d04378971f2f950b7dd574a03d92137ccb0dae6eb00473c72f38729fcb9,0,4d7e5daf9d323593842a603effe2ce37a1c65dd16c915d6dfd394122d0d24760,96ba9430ae6992f7bcf629ea397c3b950d122a197c6d60e3e46113dc0849c0ec,ANALYSIS_RESULT,1.3.12,EXACTLY_ONE,,,,,,a44f2579d367086d02b0abb44f5e9bc14da23057ec20479e608fcfb074961d15,,,,,,,,,LOC-Theta^cw,823551b7d9713b2cc065b90e4a4de10d0b7810e822abcb3e680b396bfe182221,03d433e2d19b4988185336ae0635bca248191b85333ba95091dab3f40912d531,,,,,,,,,,,,,,,Microcase B LOC-Theta^cw,,
2be19552ce1e7d1ad98e075a48f05f4ad9add45ccd9042ca5cc687e6be1f371d,ANALYSIS,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,b6d350f35afb78dc2de864c1862948fc6af1c7d2b6fb1756b3bf4edecf3b0ef5,0,c1c42b549ad0e9292be6399aacecca066e90cc8308fbd68580955e51988afb6f,29dc96e751bf2c55f602f045269ac2dd6fb393f3d13b466cb6c4ef5d3ac7a3c4,ANALYSIS_RESULT,1.3.12,EXACTLY_ONE,,,,,,4b3254371293707c725888262edbb074a6ee03f0b408fdf2486b7b6ac1c6ba8a,,,,,,,,,CW-Theta^cw,3c1e7521fc4b11dda82c7d72ac65279d2d990cb6e9ec2b2267afa115abb4a451,03d433e2d19b4988185336ae0635bca248191b85333ba95091dab3f40912d531,,,,,,,,,,,,,,,Microcase C CW-Theta^cw,,
426818925872a474582527f5986b0c63369b193d0eba5eabc68e81f529a9b86d,GENERATION,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,3ebd5ed9ab9e35096df560f3b2a8e4e1f102885e705a7ba38007ecbef174d901,0,ec69e4060c1ddd90aedb66096548ccea187436b26d2b4bca0472d1e29a8cb0ab,c95d4eb92b22c608cd7abb06de3aae9f84b98bc9a074b4c0de5d93a1831ddf08,GENERATION_RESULT,1.3.12,EXACTLY_ONE,3ebd5ed9ab9e35096df560f3b2a8e4e1f102885e705a7ba38007ecbef174d901,7f4d4e05e054c1745cdf19b65950c922041e8978a3e568dade29ad642195e4cf,8622785878145044159,0bd291456f142511eb8f225163ecf6498a07b17ea85c494d675c867420fb9bd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microcase D generation,,
491916c5fab3294a88431430d3bd6d3869a6fb803425c1b8871c9b0f210f639a,ANALYSIS,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,b19a7d04378971f2f950b7dd574a03d92137ccb0dae6eb00473c72f38729fcb9,0,d7d67a2f92b298192bf26509124c42f3d678f3a36330ad04e875911c416b99b1,43d04b21dc95be1245933bc4b1f86f9b30595d8be8b3293caec7cb3095d0dffd,ANALYSIS_RESULT,1.3.12,EXACTLY_ONE,,,,,,a44f2579d367086d02b0abb44f5e9bc14da23057ec20479e608fcfb074961d15,,,,,,,,,CW-Theta^cw,aa547a28144fb827d8e90e992c8faa4a8681ed6b99395dd15c9d9bd1168c7d92,03d433e2d19b4988185336ae0635bca248191b85333ba95091dab3f40912d531,,,,,,,,,,,,,,,Microcase B CW-Theta^cw,,
4b3254371293707c725888262edbb074a6ee03f0b408fdf2486b7b6ac1c6ba8a,GENERATION,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,b6d350f35afb78dc2de864c1862948fc6af1c7d2b6fb1756b3bf4edecf3b0ef5,0,5e487a860f8eaa6c359f3645d2f820339c27ab39d298beced0bef44649a6fe19,44f199ad549f8c9bd5787a67195968df9929f682ec7820d40b9f5b31c6d02c75,GENERATION_RESULT,1.3.12,EXACTLY_ONE,b6d350f35afb78dc2de864c1862948fc6af1c7d2b6fb1756b3bf4edecf3b0ef5,d989e355176aa454d29a22ffd53b2b1d7d5986dead3f466e190771c3828535a5,3191942812009352565,0bd291456f142511eb8f225163ecf6498a07b17ea85c494d675c867420fb9bd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microcase C generation,,
5c37894400cfd786f27b9a4c1ff1d46cde8e3789b7af3d8cd9965d41b7234c9b,ANALYSIS,DIAGNOSTIC,7a69bba177d934af53a5471af1db90f43c89c1f75c44d3911dfe50d32a530978,eb41f71e708725f7157f6e98a665fbfdaa9b52b092c96e116590f4e1a1cff2ad,0,82297f63d379714cee6edd6a10fbce2b79d0aba401fb7d72bb20a002674f5e5b,92154245d3a4a4f8ca7d1656bde853393ca52099611090ccceef271c99d52bff,ANALYSIS_RESULT,1.3.12,EXACTLY_ONE,,,,,,10db4f55ae042ade00beacff2f68e7d5e5d27efab66241f51622bd9f5e4b2d9e,,,,,,,,,LOC-Theta^cw,9bae5002a6495ad726c7da39f12a493937d97291f672d00e7c0888e78e084c27,03d433e2d19b4988185336ae0635bca248191b85333ba95091dab3f40912d531,,,,,,,,,,,,,,,Microcase A LOC-Theta^cw,,
