attempt_id,analysis_id,attempt_number,parent_attempt_id,timeout_budget_seconds,solver_status,outer_timeout,solver_wall_seconds,solver_cpu_seconds,worker_startup_seconds,serialization_seconds,ipc_seconds,total_wall_seconds,exception_type,exception_message,traceback,started_at_utc
8da72265d9b42297bcc41b1db32b58977f6e6c5a0a8377e3b1303defed799835,2f19e161f2a0dc6c4dc133ee553ed78fa8fb1ae219f18b58a56bf9a5406aff11,1,,30.0,COMPLETED,False,0.866882277,0.866876737,0.088799863,0.003336125,0.017944212,0.976962477,,,,2026-07-13T15:11:55.609171Z
d6de2e5854ec4556b77aaff576eabfe0ee586dc8718981ada19cb646c22dcc3f,4514de81356eb4c6570d55d92517d50212e74cd96aadc75cf441920dc24a78d9,1,,30.0,COMPLETED,False,0.863876685,0.863873891,0.110017563,0.002812782,0.012978429,0.989685459,,,,2026-07-13T15:11:56.603480Z
87aed03b00176dcae75dc6ae9b0af966d8206b804b8e3aea2d46191022fcd3e7,a2c195df55bf87a3bd9f0241492ce78ac2b13849bc60cb406c4cda650ab803d4,1,,30.0,COMPLETED,False,0.730060886,0.730067174,0.087121486,0.003071294,0.010100571,0.830354237,,,,2026-07-13T15:11:57.601945Z
7233acc5423e5a38cf3a7646b1304107422842dabd99c573b4fae2e6b8d101af,6ba26f27ab50ba79a52ee6d0143bc6549f79c9e324c44c89cf44e899c168d6ad,1,,30.0,COMPLETED,False,0.708598161,0.708598647,0.085491832,0.009164536,0.012405019,0.815659548,,,,2026-07-13T15:11:58.439443Z
8fcd50ee054a973b65780ebeeccd33a2c49de5fe0de4243dc16fd215746353ce,d33f97142f2ede713ff4b43016e281b511ef67c83fec68dd79d23718ec92df87,1,,30.0,COMPLETED,False,0.749330454,0.749226793,0.089072280,0.003736508,0.009828538,0.851967780,,,,2026-07-13T15:11:59.263557Z
0df13df537655b7622e77d98c3b505d9309cd4e3f3bfe7477b2e557a253b1a61,d03a0e1fa98a20fc2451821ff1d3fbf942eadb4371b64b22ffc8c04f5a6a0998,1,,30.0,COMPLETED,False,0.820394224,0.820387335,0.086960798,0.003389759,0.010214090,0.920958871,,,,2026-07-13T15:12:00.144514Z
9f6e2d3931fa47e4e421de98f9c453a50134b7f176dddffb03be480d6eaf531c,6cdd640a6877e23829c39f6f6f9b7be9a0c9504060b119b5a5b1cfb4e413634d,1,,30.0,COMPLETED,False,0.830795366,0.830789540,0.089145862,0.002734278,0.012168047,0.934843553,,,,2026-07-13T15:12:01.072656Z
f6a2cd68f7907b3bfdd29fdc9a8aa864b2de5974cd9c2b8c030ba424805b27fd,03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,1,,30.0,COMPLETED,False,0.713790109,0.713765136,0.092161738,0.010878036,0.010930550,0.827760433,,,,2026-07-13T15:12:02.015296Z
6b8f5ddaf0ea2cc5ca3cd0854566cd51a18746efbbb1a25225b1eb5ae2afff79,b4b24acc093b369f02f2396c35b8e99c134bd11b6d0d10ab6f3863801aac0925,1,,30.0,COMPLETED,False,0.711241382,0.711226808,0.088429622,0.003081574,0.009420087,0.812172665,,,,2026-07-13T15:12:02.851292Z
714dfd21d40dbbef995c73ce7c85efdf169c51efb16f2ce26cad6619c39a9d81,4c17ae4935e6b9340c7575e32a89e5d927c31f6f228e667b03e879573480506e,1,,30.0,COMPLETED,False,0.743577711,0.743523605,0.103523954,0.010936946,0.010037906,0.868076517,,,,2026-07-13T15:12:03.671044Z
